ndc11,state,year,quarter,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,amount_per_unit,amount_per_rx,prev_units,units_yoy_growth
206885408,MI,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,MI,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885408,MN,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,MS,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NC,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NC,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NC,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NC,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NC,2023,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,NV,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NV,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NV,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206885408,NY,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,VA,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,VA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885408,VA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885408,VA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885408,VA,2023,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,VA,2023,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,VA,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,VA,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,VA,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,VA,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885408,XX,2022,2,43.0,23.0,409.04,409.04,0.0,9.512558139534883,17.784347826086957,,
206885408,XX,2022,3,15.667,13.0,18188.96,18188.96,0.0,1160.9727452607392,1399.1507692307691,,
206885408,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885408,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,XX,2023,2,0.0,0.0,0.0,0.0,0.0,,,43.0,-1.0
206885408,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,15.667,-1.0
206885408,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,XX,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885408,XX,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,AK,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,AK,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,AK,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,AR,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,AR,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,CO,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,CO,2022,2,12.0,12.0,289.68,289.68,0.0,24.14,24.14,,
206885416,FL,2022,1,25.0,13.0,124.7,124.7,0.0,4.988,9.592307692307692,,
206885416,FL,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,FL,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,FL,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,FL,2023,1,0.0,0.0,0.0,0.0,0.0,,,25.0,-1.0
206885416,FL,2023,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,FL,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,FL,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,FL,2024,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,FL,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,FL,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,GA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,GA,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,ID,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,IN,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,KY,2022,1,36.0,23.0,472.97,472.97,0.0,13.138055555555557,20.563913043478262,,
206885416,KY,2022,2,55.0,31.0,472.2,472.2,0.0,8.585454545454546,15.23225806451613,,
206885416,KY,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,KY,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,KY,2023,1,0.0,0.0,0.0,0.0,0.0,,,36.0,-1.0
206885416,KY,2023,2,0.0,0.0,0.0,0.0,0.0,,,55.0,-1.0
206885416,KY,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,KY,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,LA,2022,1,44.0,16.0,472.25,472.25,0.0,10.732954545454545,29.515625,,
206885416,LA,2022,2,43.0,14.0,165.42,165.42,0.0,3.8469767441860463,11.815714285714284,,
206885416,LA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,LA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,LA,2023,1,0.0,0.0,0.0,0.0,0.0,,,44.0,-1.0
206885416,LA,2023,2,0.0,0.0,0.0,0.0,0.0,,,43.0,-1.0
206885416,LA,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,LA,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,LA,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MA,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MN,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MN,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MN,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MN,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MN,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MN,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MN,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MN,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MS,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MS,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MS,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,MS,2023,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2023,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,MS,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,NC,2022,1,30.0,17.0,349.31,172.12,177.19,11.643666666666666,20.54764705882353,,
206885416,NC,2022,2,22.0,14.0,299.38,123.91,175.47,13.608181818181817,21.384285714285713,,
206885416,NC,2022,3,22.333,15.0,321.69,239.22,82.47,14.404244839475217,21.446,,
206885416,NC,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,NC,2023,1,0.0,0.0,0.0,0.0,0.0,,,30.0,-1.0
206885416,NC,2023,3,0.0,0.0,0.0,0.0,0.0,,,22.0,-1.0
206885416,NC,2023,4,0.0,0.0,0.0,0.0,0.0,,,22.333,-1.0
206885416,NC,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,NC,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,NC,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,ND,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885416,NV,2022,2,21.333,16.0,190.57,190.57,0.0,8.933108329817653,11.910625,,
206885416,NV,2022,3,44.0,23.0,417.19,417.19,0.0,9.48159090909091,18.13869565217391,,
206885416,NV,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,NV,2023,1,9918.638,30.0,700.4,700.4,0.0,0.07061453397129726,23.346666666666668,,
206885416,NV,2023,2,74.0,33.0,762.21,762.21,0.0,10.300135135135136,23.097272727272728,21.333,2.4688042000656263
206885416,NV,2023,3,0.0,0.0,0.0,0.0,0.0,,,44.0,-1.0
206885416,NV,2023,4,87.0,37.0,896.12,896.12,0.0,10.30022988505747,24.21945945945946,0.0,
206885416,NY,2022,1,28.0,19.0,97.84,97.84,0.0,3.494285714285714,5.149473684210527,,
206885416,NY,2022,2,25.0,15.0,15.22,15.22,0.0,0.6088,1.0146666666666666,,
206885416,NY,2022,3,20.0,14.0,36.98,36.98,0.0,1.8489999999999998,2.641428571428571,,
206885416,NY,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,NY,2023,1,0.0,0.0,0.0,0.0,0.0,,,28.0,-1.0
206885416,NY,2023,2,12.333,12.0,12.06,12.06,0.0,0.9778642666018,1.0050000000000001,25.0,-0.50668
206885416,NY,2023,3,19.0,13.0,32.64,32.64,0.0,1.7178947368421054,2.5107692307692306,20.0,-0.05
206885416,NY,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,NY,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885416,NY,2024,2,0.0,0.0,0.0,0.0,0.0,,,12.333,-1.0
206885416,NY,2024,3,0.0,0.0,0.0,0.0,0.0,,,19.0,-1.0
206885416,OK,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206885416,TX,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885416,VA,2022,1,33.0,29.0,37304.02,37304.02,0.0,1130.4248484848483,1286.3455172413792,,
206885416,VA,2022,2,27.0,24.0,49565.8,49565.8,0.0,1835.7703703703705,2065.241666666667,,
206885416,VA,2022,3,34.0,30.0,45604.77,45604.77,0.0,1341.3167647058822,1520.1589999999999,,
206885416,VA,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885416,VA,2023,1,26.0,19.0,43637.85,43637.85,0.0,1678.378846153846,2296.728947368421,33.0,-0.21212121212121213
206885416,VA,2023,2,21.0,18.0,45940.98,45940.98,0.0,2187.6657142857143,2552.2766666666666,27.0,-0.2222222222222222
206885416,VA,2023,3,21.0,20.0,42470.57,42470.57,0.0,2022.4080952380953,2123.5285,34.0,-0.38235294117647056
206885416,VA,2023,4,19.0,15.0,33258.27,33258.27,0.0,1750.4352631578945,2217.218,0.0,
206885416,VA,2024,1,0.0,0.0,0.0,0.0,0.0,,,26.0,-1.0
206885416,VA,2024,2,0.0,0.0,0.0,0.0,0.0,,,21.0,-1.0
206885416,XX,2022,1,212.667,137.0,39446.530000000006,39269.170000000006,177.36,185.48496005492157,287.9308759124088,,
206885416,XX,2022,2,228.674,151.0,51138.86,50963.39,175.47,223.63215756929077,338.66794701986754,,
206885416,XX,2022,3,218.014,135.0,47807.98,47725.51,82.47,219.28857779775612,354.1331851851852,,
206885416,XX,2022,4,31.666,26.0,21675.66,21675.66,0.0,684.5089370302533,833.6792307692308,,
206885416,XX,2023,1,9994.305,78.0,44560.0,44560.0,0.0,4.4585391380391135,571.2820512820513,212.667,45.9950909167854
206885416,XX,2023,2,124.333,77.0,46987.64,46910.61,77.03,377.9176887873694,610.2290909090909,228.674,-0.45628711615662476
206885416,XX,2023,3,80.666,65.0,42791.700000000004,42785.8,5.9,530.480003966975,658.3338461538463,218.014,-0.6299962387736567
206885416,XX,2023,4,134.0,74.0,34374.909999999996,34373.57,1.34,256.5291791044776,464.52581081081075,31.666,3.231668035116529
206885416,XX,2024,1,16.0,11.0,8043.38,8043.38,0.0,502.71125,731.2163636363637,9994.305,-0.998399088280776
206885416,XX,2024,2,0.0,0.0,0.0,0.0,0.0,,,124.333,-1.0
206885416,XX,2024,3,13.333,12.0,7.2,7.2,0.0,0.5400135003375084,0.6,80.666,-0.8347135100290085
206885416,XX,2024,4,0.0,0.0,0.0,0.0,0.0,,,134.0,-1.0
206885508,CO,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,FL,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,GA,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,GA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,GA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
