brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",2,Overall,1054736.76,2741266.0,4243.0,1651.0,0.3989452354,248.58278576,638.84721987,0,2020
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Pfizer/Baxter,1054736.76,2741266.0,4243.0,1651.0,0.3989452354,248.58278576,638.84721987,0,2020
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Baxter Healthca,,,,,,,,,2020
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,22,Overall,12296412.93,9748945.742,63421.0,20604.0,2.3567163086,193.88551,596.79736605,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Xellia Pharmace,1961.63,162.0,11.0,,12.421701559,178.33,,1,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Wockhardt USA L,2990850.02,1706993.299,13686.0,5217.0,2.745965783,218.53353938,573.28925053,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,WG Critical Car,656756.86,1237742.797,3435.0,1332.0,2.0234028731,191.19559243,493.06070571,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz,429918.08,97916.655,2335.0,1153.0,4.5446520392,184.11909208,372.86910668,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sagent Pharmace,85836.08,70386.154,489.0,240.0,1.7944725873,175.53390593,357.65033333,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Provepharm Inc.,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz-Novaplus,215561.79,26895.139,1013.0,443.0,8.4037204685,212.79544916,486.59546275,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Piramal Critica,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Meitheal Pharma,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Hospira/Pfizer,504169.25,441297.253,3235.0,1372.0,2.3150044256,155.84829985,367.47029883,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Premi,44252.21,40100.279,632.0,248.0,2.8500040506,70.01931962,178.43633065,1,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Novap,45137.08,41598.538,296.0,128.0,1.0850640953,152.49013514,352.6334375,1,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius Kabi,1029844.18,705180.513,4678.0,1872.0,2.4118011698,220.14625481,550.13043803,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,"Civica, Inc.",4233.67,927.0,38.0,14.0,5.2295337136,111.41236842,302.405,0,2021
