ndc11,state,year,quarter,drug_name,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,utilization_type,labeler_code,product_code,package_size,suppression_used,quarter_begin_date
00206886101,DC,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-01-01
00206886102,DC,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206885516,DE,2022,4,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-10-01
00206886101,DE,2022,4,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-10-01
00206886101,DE,2022,4,ZOSYN 3.37,134.268,64.0,7676.86,7676.86,0.0,MCOU,00206,8861,01,false,2022-10-01
00206886102,DE,2022,4,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-10-01
00206886201,DE,2022,4,ZOSYN 4.5G,27.75,24.0,1778.8,1691.76,87.04,MCOU,00206,8862,01,false,2022-10-01
00206886202,DE,2022,4,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-10-01
00206885216,DE,2022,3,ZOSYN     ,,,,,,MCOU,00206,8852,16,true,2022-07-01
00206886101,DE,2022,3,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-07-01
00206886101,DE,2022,3,ZOSYN 3.37,299.264,129.0,14223.13,14223.13,0.0,MCOU,00206,8861,01,false,2022-07-01
00206886102,DE,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-07-01
00206886201,DE,2022,3,ZOSYN 4.5G,57.75,34.0,3559.85,3559.85,0.0,MCOU,00206,8862,01,false,2022-07-01
00206886202,DE,2022,3,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-07-01
00206885216,DE,2022,2,ZOSYN     ,,,,,,MCOU,00206,8852,16,true,2022-04-01
00206885516,DE,2022,2,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-04-01
00206886101,DE,2022,2,ZOSYN 3.37,20.04,11.0,1558.11,1558.11,0.0,FFSU,00206,8861,01,false,2022-04-01
00206886101,DE,2022,2,ZOSYN 3.37,237.808,91.0,13333.21,13333.21,0.0,MCOU,00206,8861,01,false,2022-04-01
00206886102,DE,2022,2,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-04-01
00206886102,DE,2022,2,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-04-01
00206886201,DE,2022,2,ZOSYN 4.5G,,,,,,FFSU,00206,8862,01,true,2022-04-01
00206886201,DE,2022,2,ZOSYN 4.5G,46.5,34.0,3422.83,3422.83,0.0,MCOU,00206,8862,01,false,2022-04-01
00206886202,DE,2022,2,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-04-01
00206885216,DE,2022,1,ZOSYN     ,,,,,,MCOU,00206,8852,16,true,2022-01-01
00206885516,DE,2022,1,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-01-01
00206886101,DE,2022,1,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-01-01
00206886101,DE,2022,1,ZOSYN 3.37,71.142,30.0,1504.36,1434.81,69.55,MCOU,00206,8861,01,false,2022-01-01
00206886102,DE,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206886201,DE,2022,1,ZOSYN 4.5G,14.5,13.0,1069.02,1069.02,0.0,MCOU,00206,8862,01,false,2022-01-01
00206886201,DE,2022,1,ZOSYN 4.5G,,,,,,FFSU,00206,8862,01,true,2022-01-01
00206886202,DE,2022,1,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-01-01
00206885416,FL,2022,4,ZOSYN     ,,,,,,MCOU,00206,8854,16,true,2022-10-01
00206885516,FL,2022,4,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-10-01
00206886002,FL,2022,4,ZOSYN     ,,,,,,MCOU,00206,8860,02,true,2022-10-01
00206886101,FL,2022,4,ZOSYN     ,47.0,27.0,248.05,248.05,0.0,MCOU,00206,8861,01,false,2022-10-01
00206886102,FL,2022,4,ZOSYN     ,12.333,11.0,21.94,0.0,21.94,MCOU,00206,8861,02,false,2022-10-01
00206885216,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8852,16,true,2022-07-01
00206885408,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8854,08,true,2022-07-01
00206885416,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8854,16,true,2022-07-01
00206885516,FL,2022,3,ZOSYN     ,18.5,12.0,144.66,144.66,0.0,MCOU,00206,8855,16,false,2022-07-01
00206886002,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8860,02,true,2022-07-01
00206886101,FL,2022,3,ZOSYN     ,35.0,19.0,0.0,0.0,0.0,MCOU,00206,8861,01,false,2022-07-01
00206886102,FL,2022,3,ZOSYN     ,47.667,15.0,825.67,825.67,0.0,MCOU,00206,8861,02,false,2022-07-01
00206886201,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8862,01,true,2022-07-01
00206886202,FL,2022,3,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-07-01
00206885216,FL,2022,2,ZOSYN     ,93.0,16.0,241.35,48.6,192.75,MCOU,00206,8852,16,false,2022-04-01
00206885408,FL,2022,2,ZOSYN     ,,,,,,MCOU,00206,8854,08,true,2022-04-01
00206885416,FL,2022,2,ZOSYN     ,,,,,,MCOU,00206,8854,16,true,2022-04-01
00206885516,FL,2022,2,ZOSYN     ,29.0,22.0,0.0,0.0,0.0,MCOU,00206,8855,16,false,2022-04-01
00206886002,FL,2022,2,ZOSYN     ,,,,,,MCOU,00206,8860,02,true,2022-04-01
00206886101,FL,2022,2,ZOSYN     ,38.0,16.0,0.0,0.0,0.0,MCOU,00206,8861,01,false,2022-04-01
00206886102,FL,2022,2,ZOSYN     ,18.0,11.0,0.0,0.0,0.0,MCOU,00206,8861,02,false,2022-04-01
00206886201,FL,2022,2,ZOSYN     ,0.02,12.0,0.0,0.0,0.0,MCOU,00206,8862,01,false,2022-04-01
00206885408,FL,2022,1,ZOSYN     ,,,,,,MCOU,00206,8854,08,true,2022-01-01
00206885416,FL,2022,1,ZOSYN     ,25.0,13.0,124.7,124.7,0.0,MCOU,00206,8854,16,false,2022-01-01
00206885516,FL,2022,1,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-01-01
00206886002,FL,2022,1,ZOSYN     ,,,,,,MCOU,00206,8860,02,true,2022-01-01
00206886101,FL,2022,1,ZOSYN     ,171.0,13.0,3471.24,3471.24,0.0,MCOU,00206,8861,01,false,2022-01-01
00206886102,FL,2022,1,ZOSYN     ,26.0,16.0,438.65,438.65,0.0,MCOU,00206,8861,02,false,2022-01-01
00206886201,FL,2022,1,ZOSYN     ,,,,,,MCOU,00206,8862,01,true,2022-01-01
00206886202,FL,2022,1,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-01-01
00206885516,GA,2022,4,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-10-01
00206886101,GA,2022,4,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-10-01
00206886101,GA,2022,4,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-10-01
00206886201,GA,2022,4,ZOSYN     ,,,,,,MCOU,00206,8862,01,true,2022-10-01
00206886202,GA,2022,4,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-10-01
00206886202,GA,2022,4,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-10-01
00206885508,GA,2022,3,ZOSYN     ,,,,,,MCOU,00206,8855,08,true,2022-07-01
00206885516,GA,2022,3,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-07-01
00206886101,GA,2022,3,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-07-01
00206886101,GA,2022,3,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-07-01
00206886102,GA,2022,3,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-07-01
00206886102,GA,2022,3,ZOSYN     ,,,,,,MCOU,00206,8861,02,true,2022-07-01
00206886202,GA,2022,3,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-07-01
00206886202,GA,2022,3,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-07-01
00206885416,GA,2022,2,ZOSYN     ,,,,,,MCOU,00206,8854,16,true,2022-04-01
00206885508,GA,2022,2,ZOSYN     ,,,,,,FFSU,00206,8855,08,true,2022-04-01
00206885516,GA,2022,2,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-04-01
00206886101,GA,2022,2,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-04-01
00206886101,GA,2022,2,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-04-01
00206886202,GA,2022,2,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-04-01
00206886202,GA,2022,2,ZOSYN     ,33.0,12.0,653.1,653.1,0.0,MCOU,00206,8862,02,false,2022-04-01
00206885508,GA,2022,1,ZOSYN     ,,,,,,MCOU,00206,8855,08,true,2022-01-01
00206885516,GA,2022,1,ZOSYN     ,,,,,,MCOU,00206,8855,16,true,2022-01-01
00206886002,GA,2022,1,ZOSYN     ,,,,,,FFSU,00206,8860,02,true,2022-01-01
00206886101,GA,2022,1,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-01-01
00206886101,GA,2022,1,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-01-01
00206886102,GA,2022,1,ZOSYN     ,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206886202,GA,2022,1,ZOSYN     ,,,,,,MCOU,00206,8862,02,true,2022-01-01
00206886202,GA,2022,1,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-01-01
00206886101,HI,2022,4,ZOSYN 3.37,30.0,11.0,1034.08,1034.08,0.0,MCOU,00206,8861,01,false,2022-10-01
00206886102,HI,2022,4,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-10-01
00206886202,HI,2022,4,ZOSYN 4.5 ,,,,,,MCOU,00206,8862,02,true,2022-10-01
00206886001,HI,2022,3,ZOSYN 2.25,,,,,,MCOU,00206,8860,01,true,2022-07-01
00206886101,HI,2022,3,ZOSYN 3.37,94.0,16.0,430.25,430.25,0.0,MCOU,00206,8861,01,false,2022-07-01
00206886102,HI,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-07-01
00206886202,HI,2022,3,ZOSYN 4.5 ,,,,,,MCOU,00206,8862,02,true,2022-07-01
00206886101,HI,2022,2,ZOSYN 3.37,313.0,11.0,548.97,548.97,0.0,MCOU,00206,8861,01,false,2022-04-01
00206886102,HI,2022,2,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-04-01
00206886202,HI,2022,2,ZOSYN 4.5 ,,,,,,MCOU,00206,8862,02,true,2022-04-01
00206886101,HI,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-01-01
00206886102,HI,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206886102,HI,2022,1,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-01-01
00206886002,IA,2022,4,ZOSYN 2.25,,,,,,MCOU,00206,8860,02,true,2022-10-01
00206886101,IA,2022,4,ZOSYN 3.37,128.666,83.0,8967.13,735.08,8232.05,MCOU,00206,8861,01,false,2022-10-01
00206886102,IA,2022,4,ZOSYN 3.37,93.997,57.0,22249.26,146.7,22102.56,MCOU,00206,8861,02,false,2022-10-01
00206886201,IA,2022,4,ZOSYN 4.5G,,,,,,MCOU,00206,8862,01,true,2022-10-01
00206886202,IA,2022,4,ZOSYN 4.5G,84.0,51.0,0.0,0.0,0.0,MCOU,00206,8862,02,false,2022-10-01
00206886002,IA,2022,3,ZOSYN 2.25,,,,,,MCOU,00206,8860,02,true,2022-07-01
00206886101,IA,2022,3,ZOSYN 3.37,43.0,23.0,8714.56,52.53,8662.03,MCOU,00206,8861,01,false,2022-07-01
00206886102,IA,2022,3,ZOSYN 3.37,112.661,57.0,31063.37,0.0,31063.37,MCOU,00206,8861,02,false,2022-07-01
00206886201,IA,2022,3,ZOSYN 4.5G,27.0,17.0,10257.34,65.79,10191.55,MCOU,00206,8862,01,false,2022-07-01
00206886202,IA,2022,3,ZOSYN 4.5G,75.0,55.0,9940.68,0.0,9940.68,MCOU,00206,8862,02,false,2022-07-01
00206886101,IA,2022,2,ZOSYN 3.37,135.999,74.0,38785.37,187.55,38597.82,MCOU,00206,8861,01,false,2022-04-01
00206886102,IA,2022,2,ZOSYN 3.37,70.664,37.0,27130.99,67.04,27063.95,MCOU,00206,8861,02,false,2022-04-01
00206886201,IA,2022,2,ZOSYN 4.5G,41.0,21.0,0.0,0.0,0.0,MCOU,00206,8862,01,false,2022-04-01
00206886202,IA,2022,2,ZOSYN 4.5G,86.0,47.0,4751.53,0.0,4751.53,MCOU,00206,8862,02,false,2022-04-01
00206886001,IA,2022,1,ZOSYN 2.25,,,,,,MCOU,00206,8860,01,true,2022-01-01
